           1        -nan        -nan         nan
           2        -nan        -nan         nan
           1    -5.78153    -5.78153           0
           2    -5.78158    -5.78156 1.69629e-05
           3     -5.7815    -5.78154 1.87711e-05
           4    -5.78154    -5.78154 1.40884e-05
           5    -5.78154    -5.78154 1.12811e-05
           6    -5.78157    -5.78154 1.07387e-05
           7    -5.78161    -5.78155 1.24566e-05
           8    -5.78155    -5.78155 1.09398e-05
           9    -5.78157    -5.78155 9.92862e-06
          10     -5.7815    -5.78155 1.00931e-05
          11    -5.78155    -5.78155 9.17553e-06
          12    -5.78149    -5.78154 9.65105e-06
          13    -5.78153    -5.78154 8.99889e-06
          14     -5.7815    -5.78154 8.83086e-06
          15    -5.78153    -5.78154 8.27791e-06
          16    -5.78154    -5.78154 7.76678e-06
          17    -5.78154    -5.78154 7.30989e-06
          18    -5.78158    -5.78154 7.27486e-06
          19    -5.78157    -5.78154 7.02326e-06
          20    -5.78152    -5.78154 6.74431e-06
