           1     1.39223     1.39223           0
           2     1.39213     1.39218 3.53625e-05
           3     1.39219     1.39218 2.36695e-05
           4     1.39206     1.39215 3.10671e-05
           5     1.39213     1.39215 2.50967e-05
           6     1.39224     1.39216 2.47567e-05
           7     1.39226     1.39218 2.48112e-05
           8     1.39227     1.39219 2.41458e-05
           9     1.39215     1.39218 2.18005e-05
          10     1.39219     1.39219 1.96315e-05
          11     1.39219     1.39219 1.78557e-05
          12     1.39219     1.39219 1.63677e-05
          13     1.39215     1.39218 1.53167e-05
          14     1.39216     1.39218 1.43343e-05
          15     1.39214     1.39218 1.36676e-05
          16     1.39211     1.39217 1.35531e-05
          17     1.39204     1.39217 1.49361e-05
          18     1.39207     1.39216 1.49864e-05
          19     1.39209     1.39216 1.46398e-05
          20     1.39208     1.39215 1.43503e-05
