           1      1.6288      1.6288           0
           2     1.73277     1.68079   0.0367599
           3     1.79304      1.7182   0.0391663
           4     1.83088     1.74637   0.0381838
           5     1.80262     1.75762   0.0321612
           6     1.76649      1.7591    0.026835
           7     1.77486     1.76135   0.0230957
           8     1.78805     1.76469   0.0204485
           9     1.81163      1.7699   0.0188298
          10     1.81586      1.7745   0.0174987
          11     1.77633     1.77467   0.0159087
          12     1.78422     1.77546   0.0146029
          13     1.81172     1.77825   0.0137434
          14     1.80685     1.78029   0.0129126
          15     1.78146     1.78037    0.012052
          16     1.81918      1.7828   0.0115402
          17     1.78833     1.78312    0.010866
          18     1.77656     1.78276   0.0102684
          19     1.80703     1.78404  0.00980716
          20     1.80752     1.78521  0.00938685
