           1     1.20567     1.20567           0
           2     1.20475     1.20521 0.000325304
           3     1.20878      1.2064 0.000996137
           4     1.20879       1.207 0.000909027
           5     1.20509     1.20661 0.000803538
           6     1.20675     1.20664 0.000669959
           7     1.20836     1.20688 0.000617753
           8     1.20495     1.20664 0.000586109
           9     1.20646     1.20662 0.000521312
          10      1.2071     1.20667 0.000471413
          11     1.20302     1.20634 0.000532586
          12       1.202     1.20598 0.000598505
          13     1.20556     1.20594 0.000553328
          14     1.20782     1.20608 0.000529817
          15     1.20525     1.20602 0.000497359
          16     1.20747     1.20611 0.000474388
          17     1.20569     1.20609 0.000447122
          18     1.20663     1.20612 0.000423308
          19     1.20713     1.20617 0.000404357
          20     1.20557     1.20614 0.000385254
